id,student_number,year,time_1,time_2,people,age,intrusiveness
1,4c21efd175de0cbc672f73b01d9e3e007ef4824c,1,11:50:05,11:53:10,70,10,11
2,c73379e7a55b2ed6cb0723d223b0aeb18ba18414,1,11:50:15,11:52:18,18,10,2
3,688a4ca2ff15d0094e9839a64e6ebf43ed47879c,1,11:48:00,11:53:00,29,8,8
4,ad307ea4162ac7cd141298dd95b05cbdcc395336,1,11:49:50,11:53:40,30,3,15
5,e7be41ae619bf90ac36d6b5afd00ae68922e3ac4,1,11:49:55,11:53:45,118,12,10
6,8122eec45f26f500b97ae2f0f1a422765a856a91,1,11:49:00,11:55:00,90,10,6
7,ea8c2a2c984191ea5ed05fc6433932cb24e6427e,1,11:49:15,11:54:30,15,11,21
8,6ef894501c9215c6ae4e3d4bd4a658feda79b853,1,11:46:51,11:51:24,6,3,15
9,11fa4363ec9b14b586d5d21471a47fa12e92218d,1,11:47:00,11:48:00,40,4,7
10,361d4cba3d52f3ed16c122f938527faf255977a4,1,11:46:30,11:54:55,60,13,10
11,965bb8e393ec2a6db27f7030ff85170eb2fc6825,1,11:44:39,11:49:20,60,9,20
12,688a4ca2ff15d0094e9839a64e6ebf43ed47879c,2,17:56:00,18:01:00,40,5,8
13,a836999d18aac28e427d5ecebf86b7da79103732,2,17:55:00,18:00:00,40,10,20
14,edbbb98505e06698f77c02e434456706fefbc9a6,2,17:56:25,18:01:35,40,11,9
15,7e4ccc8ddac4304c75f17dcb117bc02b1c493733,2,17:55:00,18:00:00,40,8,17
16,0fc0cb4f21cae8a36f25eadfffffb07ceb32e721,2,17:55:00,18:00:00,30,6,10
17,11fa4363ec9b14b586d5d21471a47fa12e92218d,2,17:54:00,17:55:00,40,5,7
18,4c21efd175de0cbc672f73b01d9e3e007ef4824c,2,17:55:00,17:58:00,90,11,14
19,5103998213d65435ff532cda5aff9fcc34862d13,2,17:54:00,17:57:00,50,10,3
20,6ef894501c9215c6ae4e3d4bd4a658feda79b853,2,17:54:32,17:57:51,85,13,12
21,361d4cba3d52f3ed16c122f938527faf255977a4,2,17:55:08,17:59:40,43,13,5
22,df534ecd14202dc83b97d7357397b467bf0e640d,2,17:52:00,17:55:00,60,10,5
23,b58cb5cd3d91ca5a1a2b351eb6a8d33ca83f15dc,2,17:52:00,17:55:00,40,14,4
24,7ea587027d9c9c30193576f282ef39328082b2d9,2,17:55:00,17:58:00,40,8,4
25,0f58d5a5515f1a8a9d179aa58858b67b2f8a3388,2,17:56:00,18:02:00,40,7,8
26,0f39023d214eb580f7888550047649c205006f35,4,16:35:00,16:39:00,80,15,10
27,c046693d9af7fed4f2bf25706c35cab6abd69fb2,4,16:35:00,16:38:00,70,11,1
28,e3ac5d5ddab4ecf916eab2a27e297a1a0a9b86c0,4,16:35:00,16:40:00,1,11,3
29,bfb9d7610b13b94c6107dee6b0c2c8e339ceb0a5,4,16:35:00,16:40:00,10,10,5
94,05b56cb43eb8bd8ae83b04bf6faf69c367e4e576,6,19:11:15,19:15:15,20,7,6
95,cc7c7a425a611f0614ce8867df5432356308c47c,6,19:18:00,19:21:00,10,11,10
97,12ac11b7c9f55a871ac337a8199d6db1ab660202,6,19:10:05,19:13:24,30,6,7
98,99410ca81a3d2065da173a5123c081918941d47c,6,19:11:30,19:13:01,0,5,2
99,3d4e218b42279d43eff29b9f14cc42084d9be3a3,6,19:14:35,19:15:30,50,11,11
100,2f04c6027b44c3a49a4690b06273f006297d0ddd,6,19:10:00,19:13:00,40,10,11
101,1b61b40ada3f4d533c10a087b42eb922a4044449,6,19:11:00,19:12:59,40,6,10
102,2c458829fb4835cec11b0b8069ea6030a62a6eb2,6,19:06:30,19:10:30,30,11,11
103,cc937f4892d262ca607d2858d9aa91138ea97970,7,14:35:00,14:36:00,40,10,1
104,ae6fff7b4d90e9c9069d308a06e3288bf3e52de8,7,14:34:00,14:36:00,80,11,8
105,6c95c5b53566f7df941138181e1475d30fbd7b39,7,14:34:00,14:36:00,0,19,11
106,ffd3e7f59dde44fb203ce16b5da63c22f2922f4e,7,14:34:56,14:36:37,0,11,2
107,2dac88111dfa0ceabcf9cdb35926cafbedb565d8,7,14:34:40,14:35:43,0,10,20
108,c42dd7401d287ff84a266a0487b2a09818afee31,7,14:35:05,14:37:00,20,5,1
110,00ad36b687fdcd2c99c49038826b07bc76c441ff,7,14:35:00,14:36:00,15,11,6
111,bb69e9a98b7650f01d40bd43789796c8730fc926,7,14:35:00,14:38:00,40,10,1
112,e40602b3fb3e5628269aeac48affe61256900d20,7,14:35:00,14:38:00,55,9,1
113,f96a48ae6a836a731266b4a0583202a64cfd1b4c,7,14:30:00,14:45:00,100,15,20
114,270686a66abdde79d79e3c1863fea81f34bb7795,7,14:34:35,14:35:40,40,10,6
115,3855786bdf8946cd8d1aa875448ec5bcdce6e5d4,7,14:34:35,14:35:40,5,10,10
116,a345eeed710df734b6261ca281b153f513b42574,7,14:35:00,14:36:00,20,11,1
117,01b5f7c30d4e60086027000233659eec14672b75,7,14:35:00,14:38:00,15,2,4
118,a027edb1f2fb20e10d8ffa0a6da8759aebcd60e5,7,14:35:00,14:40:00,28,10,11
119,3ca1712937de09fde4e2cd52012046fc2d89b2ef,7,14:35:00,14:38:00,25,9,10
120,c33511f9b6060250c646eb6f565b5b7d69921188,7,14:35:16,14:38:26,20,3,4
121,5f4a2df4f6d5d643562b29e3400f68302d2d8e9d,7,14:35:00,14:38:00,45,11,1
122,132493f71b2338d162df194e06a539c687429589,7,14:35:00,14:37:00,30,8,8
123,8e854e87d149dad76a06dbd3c9fe5c35cb41161b,7,14:35:00,14:41:00,20,8,1
124,fe656848d9af436e1c7365b95e95e14dc302b6db,7,14:35:00,14:41:00,30,8,5
30,eb8f9449db437a4c0083f67219c480f863eb7b3f,3,10:00:34,10:02:51,60,9,7
31,6fb2c528e912e730d5fc21ef551cc3e7bd31876e,3,09:58:00,10:00:00,30,10,1
32,0937fa085abc6e33cc0dcfe60d3fab5e75f08ce0,3,09:58:00,10:00:00,50,11,1
33,376c30cc2fc1901965be1adbcc83191e488ce560,3,10:00:42,10:01:51,60,9,13
